id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,The answer accurately reflects the information provided in the retrieved context regarding the SLA for ticket P1.,5,The answer directly and completely addresses the question by providing the specific SLA times for P1 tickets.,5,Retrieved: 1/1 expected sources,5,The model answer includes both key points from the expected answer: the initial response time of 15 minutes and the resolution time of 4 hours.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved context regarding the timeframe for requesting a refund.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the requirements for Level 3 access as stated in the retrieved context.,5,The answer directly and completely addresses the question by specifying who needs to approve the Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are non-refundable unless there is a manufacturer defect, but it does not mention the specific conditions for requesting a refund.",5,"The answer directly addresses the question by stating that digital products are generally non-refundable, with exceptions for manufacturer errors.",5,Retrieved: 1/1 expected sources,3,The model answer correctly states that digital products are non-refundable but introduces an exception that is not mentioned in the expected answer.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely addresses the question by providing the specific number of failed login attempts that lead to account lockout.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer and provides additional relevant information.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is fully supported by the retrieved context.,5,The answer provides a clear and detailed explanation of the escalation process for P1 incidents.,5,Retrieved: 1/1 expected sources,4,"The model answer covers the key point of automatic escalation to a Senior Engineer after 10 minutes, but includes additional details that are not part of the expected answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the information provided in the retrieved context regarding the approval matrix and its applicability.,5,The answer directly and completely explains what the Approval Matrix is and its purpose in the context of system access rights.,5,Retrieved: 1/1 expected sources,2,The model answer provides some context about the approval matrix but fails to mention the specific name change to 'Access Control SOP'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the retrieved context regarding remote work conditions for employees after the probation period.,5,The answer directly and completely addresses the question by specifying the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, như tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer accurately describes the error related to access rights and correctly references the process for requesting access as outlined in the retrieved context.,5,The answer clearly explains what ERR-403-AUTH is and provides a specific method for resolving the issue.,,No expected sources,2,The model answer provides some information about the error but misses the key point about it being related to authentication and does not mention contacting IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects that there is no information about an expedited refund process for VIP customers in the retrieved context.,1,The answer does not address the question at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of information but fails to mention the standard policy for refunds that applies to all customers, including VIPs.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 bao gồm các thời gian sau: phản hồi ban đầu trong vòng 15 phút kể từ khi ticket được tạo, xử lý và khắc phục trong vòng 4 giờ. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Thông báo cho stakeholder sẽ được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi resolve [1]. 

Sources: [1]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is fully supported by the retrieved context regarding the SLA for ticket P1.,5,The answer directly and completely addresses the question by providing specific SLA times for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the initial response time and resolution time, while also providing additional relevant details.",variant3_nuanced_abstain
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2]. 

Sources: [1], [2]",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the retrieved context regarding the timeframe for requesting a refund.,5,The answer directly and completely addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,variant3_nuanced_abstain
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3 (Elevated Access), yêu cầu phải được phê duyệt bởi Line Manager, IT Admin và IT Security. Thời gian xử lý cho yêu cầu này là 3 ngày làm việc [1]. 

Sources: [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the requirements and processing time for Level 3 access as stated in the retrieved context.,5,The answer directly and completely addresses the question by specifying who must approve the Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer regarding the approval required for Level 3 access.,variant3_nuanced_abstain
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền. Điều này có nghĩa là nếu bạn đã mua sản phẩm kỹ thuật số, bạn sẽ không thể yêu cầu hoàn tiền cho sản phẩm đó. 

Sources: [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer accurately reflects the retrieved context regarding the non-refundable status of digital products.,5,The answer directly and completely addresses the question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer regarding the non-refundable nature of digital products.,variant3_nuanced_abstain
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO. 

Sources: [1]",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved context regarding account lockout and unlocking procedures.,5,The answer directly and completely addresses the question by providing the specific number of failed login attempts that lead to account lockout and options for unlocking.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer and provides additional relevant information.,variant3_nuanced_abstain
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, quy trình escalation diễn ra như sau: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Ngoài ra, engineer phải cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, họ có thể escalate ngay lập tức [2][3]. 

Sources: [2], [3]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Every claim in the answer is fully supported by the retrieved context regarding the escalation process for incident P1.,5,The answer clearly and completely explains the escalation process for a P1 incident.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the automatic escalation after 10 minutes and the additional context about progress updates and immediate escalation.",variant3_nuanced_abstain
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Không đủ dữ liệu để trả lời câu hỏi này. Bạn có thể liên hệ IT Helpdesk để biết thêm thông tin. 

Sources:",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,The answer does not provide any relevant information from the retrieved context and suggests contacting IT Helpdesk instead.,1,The answer does not address the question about the Approval Matrix and instead suggests contacting IT Helpdesk.,5,Retrieved: 1/1 expected sources,1,The model answer does not address any key points from the expected answer.,variant3_nuanced_abstain
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Tuy nhiên, lịch remote phải được Team Lead phê duyệt qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1]. 

Sources: [1]","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is fully supported by the retrieved context.,5,The answer directly and completely addresses the question by specifying the maximum number of remote days allowed and the conditions for approval.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, specifying the maximum remote days, the probation condition, and the requirement for Team Lead approval.",variant3_nuanced_abstain
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Không đủ dữ liệu để trả lời câu hỏi này. Bạn có thể liên hệ IT Helpdesk để được hỗ trợ thêm. 

Sources:","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Correct abstain — no source exists for this question,5,Correct abstain — no source exists for this question,,No expected sources,4,"The model answer acknowledges the lack of information and suggests contacting IT Helpdesk, but it does not explicitly mention the potential relation to authentication.",variant3_nuanced_abstain
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Quy trình hoàn tiền không có thông tin cụ thể về khách hàng VIP. Tuy nhiên, quy trình xử lý yêu cầu hoàn tiền chung là như sau: Khách hàng gửi yêu cầu qua hệ thống ticket nội bộ, CS Agent xem xét trong vòng 1 ngày làm việc, nếu đủ điều kiện thì chuyển yêu cầu sang Finance Team để xử lý trong 3-5 ngày làm việc [2]. Không có tài liệu nào đề cập đến sự khác biệt trong quy trình cho khách hàng VIP. 

Sources: [2]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer accurately reflects the refund process and conditions outlined in the retrieved context without introducing any unsupported claims.,3,The answer provides a general refund process but does not directly address whether the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the lack of a special process for VIP customers and the standard processing timeline.",variant3_nuanced_abstain
